CustomerID,total_orders,total_revenue,avg_order_value,Segment
12346.0,1,77183.6,77183.6,One-time
12347.0,7,4310.0,23.681318681318682,Regular
12348.0,4,1797.24,57.97548387096774,Occasional
12349.0,1,1757.55,24.076027397260273,One-time
12350.0,1,334.4,19.670588235294115,One-time
12352.0,8,2506.04,29.482823529411764,Regular
12353.0,1,89.0,22.25,One-time
12354.0,1,1079.4,18.610344827586207,One-time
12355.0,1,459.4,35.33846153846154,One-time
12356.0,3,2811.43,47.65135593220339,Occasional
12357.0,1,6207.67,47.38679389312977,One-time
12358.0,2,1168.06,61.47684210526315,Occasional
12359.0,4,6372.58,25.695887096774193,Occasional
12360.0,3,2662.06,20.63612403100775,Occasional
12361.0,1,189.9,18.990000000000002,One-time
12362.0,10,5226.23,19.647481203007516,Regular
12363.0,2,552.0,24.0,Occasional
12364.0,4,1313.1,15.448235294117646,Occasional
12365.0,2,641.38,29.153636363636362,Occasional
12367.0,1,168.9,15.354545454545455,One-time
12370.0,4,3545.69,21.231676646706585,Occasional
12371.0,2,1887.96,29.96761904761905,Occasional
12372.0,3,1298.04,24.962307692307693,Occasional
12373.0,1,364.6,26.042857142857144,One-time
12374.0,1,742.9300000000001,22.513030303030305,One-time
12375.0,2,457.5,26.91176470588235,Occasional
12377.0,2,1628.12,21.144415584415583,Occasional
12378.0,1,4008.62,18.30420091324201,One-time
12379.0,2,852.24,21.306,Occasional
12380.0,4,2724.81,26.200096153846154,Occasional
12381.0,5,1845.31,21.21045977011494,Occasional
12383.0,5,1850.56,18.69252525252525,Occasional
12384.0,2,585.27,21.676666666666666,Occasional
12386.0,2,401.9,40.19,Occasional
12388.0,6,2780.66,27.8066,Regular
12390.0,1,549.84,17.1825,One-time
12391.0,1,460.89,4.6089,One-time
12393.0,4,1582.6000000000001,24.728125000000002,Occasional
12394.0,2,1272.48,47.12888888888889,Occasional
12395.0,12,3018.63,19.350192307692307,Regular
12397.0,2,2409.9,19.126190476190477,Occasional
12398.0,1,1635.6599999999999,19.24305882352941,One-time
12399.0,4,1108.65,18.790677966101697,Occasional
12401.0,1,84.3,16.86,One-time
12402.0,1,225.6,20.509090909090908,One-time
12403.0,1,427.7,85.53999999999999,One-time
12405.0,1,1710.39,31.67388888888889,One-time
12406.0,2,3415.3,32.52666666666667,Occasional
12407.0,5,1708.1200000000001,22.183376623376624,Occasional
12408.0,5,2888.55,27.51,Occasional
12409.0,3,11072.67,101.58412844036697,Occasional
12410.0,2,693.3299999999999,26.666538461538458,Occasional
12412.0,3,1226.88,20.112786885245903,Occasional
12413.0,3,758.1,19.95,Occasional
12414.0,3,562.41,31.244999999999997,Occasional
12415.0,21,124914.53,174.95032212885152,Loyal
12417.0,9,3649.1,19.005729166666665,Regular
12418.0,1,668.58,19.664117647058823,One-time
12420.0,1,600.39,20.70310344827586,One-time
12421.0,4,807.04,17.93422222222222,Occasional
12422.0,3,803.5600000000001,20.604102564102565,Occasional
12423.0,8,1859.31,14.87448,Regular
12424.0,2,1760.96,58.69866666666667,Occasional
12425.0,1,777.2,21.58888888888889,One-time
12426.0,1,582.73,19.424333333333333,One-time
12427.0,3,825.8,26.638709677419353,Occasional
12428.0,9,7956.46,27.062789115646257,Regular
12429.0,4,3750.4,38.66391752577319,Occasional
12430.0,1,256.4,23.30909090909091,One-time
12431.0,15,6487.45,27.606170212765957,Regular
12432.0,5,5059.32,46.845555555555556,Occasional
12433.0,7,13375.87,31.847309523809525,Regular
12434.0,2,806.14,16.122799999999998,Occasional
12435.0,2,7829.89,217.49694444444447,Occasional
12436.0,1,509.01,31.813125,One-time
12437.0,18,4951.41,24.88145728643216,Regular
12438.0,2,2906.85,29.66173469387755,Occasional
12441.0,1,173.55,15.77727272727273,One-time
12442.0,1,172.06,14.338333333333333,One-time
12444.0,5,5005.46,28.440113636363638,Occasional
12445.0,1,133.4,33.35,One-time
12446.0,1,1002.3100000000001,17.584385964912283,One-time
12447.0,1,476.49,18.326538461538462,One-time
12448.0,1,449.45,20.429545454545455,One-time
12449.0,4,4067.29,21.294712041884818,Occasional
12450.0,2,197.88,24.735,Occasional
12451.0,5,9035.52,25.524067796610172,Occasional
12452.0,2,430.57,19.571363636363635,Occasional
12453.0,1,707.09,16.443953488372095,One-time
12454.0,1,3528.34,235.22266666666667,One-time
12455.0,6,2466.86,27.409555555555556,Regular
12456.0,3,3181.04,25.44832,Occasional
12457.0,7,2363.23,38.11661290322581,Regular
12458.0,2,947.4,24.931578947368422,Occasional
12461.0,2,826.88,23.62514285714286,Occasional
12462.0,2,1189.59,19.186935483870965,Occasional
12463.0,4,1344.78,16.202168674698793,Occasional
12464.0,8,1212.05,41.79482758620689,Regular
12465.0,2,742.1899999999999,15.79127659574468,Occasional
12468.0,2,729.5400000000001,19.19842105263158,Occasional
12471.0,30,19824.05,43.09576086956522,Loyal
12472.0,7,6572.11,19.386755162241887,Regular
12473.0,5,3938.5499999999997,23.443749999999998,Occasional
12474.0,18,7375.79,17.395731132075472,Regular
12475.0,1,723.38,20.093888888888888,One-time
12476.0,11,6816.42,29.255021459227468,Regular
12477.0,6,13219.74,44.065799999999996,Regular
12478.0,1,680.99,18.91638888888889,One-time
12479.0,1,527.2,17.006451612903227,One-time
12480.0,4,3281.63,21.309285714285714,Occasional
12481.0,10,5596.32,25.789493087557602,Regular
12483.0,8,2484.98,33.133066666666664,Regular
12484.0,6,4541.72,13.126358381502891,Regular
12488.0,3,1298.66,23.612000000000002,Occasional
12489.0,1,334.93,22.328666666666667,One-time
12490.0,10,5417.93,22.114,Regular
12491.0,1,460.40000000000003,17.70769230769231,One-time
12492.0,2,263.21000000000004,13.160500000000003,Occasional
12493.0,2,433.74,19.715454545454545,Occasional
12494.0,7,1246.1000000000001,16.183116883116885,Regular
12497.0,1,1043.1,74.50714285714285,One-time
12498.0,3,403.70000000000005,17.55217391304348,Occasional
12500.0,11,4257.82,69.80032786885245,Regular
12501.0,1,2169.39,14.559664429530201,One-time
12502.0,5,3723.87,25.332448979591835,Occasional
12504.0,2,482.04999999999995,53.5611111111111,Occasional
12506.0,1,73.5,3.1956521739130435,One-time
12507.0,3,1304.81,62.13380952380952,Occasional
12508.0,2,398.27,5.772028985507246,Occasional
12509.0,1,176.5,25.214285714285715,One-time
12510.0,2,982.5699999999999,29.774848484848484,Occasional
12512.0,2,138.03,4.059705882352941,Occasional
12513.0,1,612.29,17.494,One-time
12514.0,1,1017.68,19.954509803921567,One-time
12515.0,1,383.7,23.98125,One-time
12516.0,2,1312.06,50.46384615384615,Occasional
12517.0,5,2502.84,8.812816901408452,Occasional
12518.0,5,2056.89,16.58782258064516,Occasional
12519.0,1,340.84,18.935555555555553,One-time
12520.0,5,2634.26,17.330657894736845,Occasional
12521.0,1,599.68,15.781052631578946,One-time
12522.0,2,192.72,16.06,Occasional
12523.0,11,1789.77,16.884622641509434,Regular
12524.0,8,4485.72,31.150833333333335,Regular
12526.0,3,1316.66,18.54450704225352,Occasional
12527.0,3,348.71000000000004,19.37277777777778,Occasional
12528.0,6,1933.48,21.01608695652174,Regular
12530.0,4,1662.28,25.186060606060607,Occasional
12531.0,1,125.22,7.365882352941177,One-time
12532.0,1,349.83000000000004,21.864375000000003,One-time
12534.0,1,1089.18,17.28857142857143,One-time
12535.0,2,716.35,21.069117647058825,Occasional
12536.0,3,12601.830000000002,48.282873563218395,Occasional
12538.0,1,363.95,17.33095238095238,One-time
12539.0,4,5568.35,20.396886446886448,Occasional
12540.0,17,13400.24,28.03397489539749,Regular
12541.0,3,981.18,18.868846153846153,Occasional
12544.0,1,372.7,19.61578947368421,One-time
12545.0,2,1000.39,20.0078,Occasional
12546.0,2,1161.5,16.833333333333332,Occasional
12547.0,2,207.79999999999998,25.974999999999998,Occasional
12548.0,1,95.19999999999999,19.04,One-time
12550.0,1,964.83,16.92684210526316,One-time
12551.0,1,168.0,16.8,One-time
12552.0,2,437.82,21.891,Occasional
12553.0,10,3692.28,19.33130890052356,Regular
12556.0,2,603.71,4.989338842975207,Occasional
12557.0,5,11990.960000000001,363.36242424242425,Occasional
12558.0,1,269.96,24.54181818181818,One-time
12559.0,2,561.71,26.74809523809524,Occasional
12560.0,3,2134.01,20.323904761904764,Occasional
12561.0,1,238.85,14.928125,One-time
12562.0,7,3781.7400000000002,22.510357142857146,Regular
12564.0,1,456.9,21.757142857142856,One-time
12565.0,1,145.92,16.21333333333333,One-time
12566.0,1,351.65,18.507894736842104,One-time
12567.0,10,9401.28,21.079103139013455,Regular
12569.0,32,4124.69,21.939840425531912,Loyal
12571.0,2,519.61,15.28264705882353,Occasional
12572.0,2,1020.42,17.006999999999998,Occasional
12573.0,1,160.54000000000002,5.733571428571429,One-time
12574.0,1,218.45,19.85909090909091,One-time
12576.0,5,1315.83,14.952613636363635,Occasional
12577.0,3,657.8,4.474829931972788,Occasional
12578.0,2,2794.51,24.51324561403509,Occasional
12579.0,1,440.42,15.18689655172414,One-time
12580.0,1,415.7,17.320833333333333,One-time
12581.0,1,197.71,13.180666666666667,One-time
12582.0,2,511.36,23.243636363636366,Occasional
12583.0,15,7281.38,29.47927125506073,Regular
12584.0,9,2338.15,24.355729166666666,Regular
12585.0,2,2040.1,23.44942528735632,Occasional
12586.0,1,196.94000000000003,17.903636363636366,One-time
12587.0,1,144.0,36.0,One-time
12588.0,1,214.89999999999998,21.49,One-time
12589.0,2,646.68,18.47657142857143,Occasional
12590.0,2,9864.26,145.06264705882353,Occasional
12591.0,1,452.84999999999997,17.41730769230769,One-time
12592.0,2,437.6,24.311111111111114,Occasional
12593.0,3,418.09999999999997,19.909523809523808,Occasional
12594.0,10,3338.2200000000003,28.290000000000003,Regular
12596.0,2,618.27,22.898888888888887,Occasional
12597.0,4,3811.22,18.50106796116505,Occasional
12598.0,8,3023.08,22.902121212121212,Regular
12599.0,7,1032.58,16.654516129032256,Regular
12600.0,10,2599.04,40.61,Regular
12601.0,5,577.0600000000001,20.609285714285715,Occasional
12602.0,1,153.12,12.76,One-time
12603.0,1,739.1999999999999,369.59999999999997,One-time
12604.0,2,254.18,15.88625,Occasional
12607.0,1,1579.51,15.63871287128713,One-time
12609.0,3,1126.85,18.78083333333333,Occasional
12610.0,5,2099.54,19.80698113207547,Occasional
12611.0,1,1193.32,18.35876923076923,One-time
12612.0,1,704.0400000000001,37.054736842105264,One-time
12613.0,5,3344.38,21.858692810457516,Occasional
12614.0,1,315.6,15.780000000000001,One-time
12615.0,4,2291.19,21.820857142857143,Occasional
12616.0,2,713.3,22.290625,Occasional
12617.0,1,355.53,8.465,One-time
12618.0,1,177.31,16.11909090909091,One-time
12619.0,9,3641.24,40.45822222222222,Regular
12620.0,3,1339.41,14.558804347826088,Occasional
12621.0,20,13689.67,29.31406852248394,Regular
12622.0,1,180.1,16.37272727272727,One-time
12623.0,1,305.1,16.950000000000003,One-time
12624.0,2,641.13,16.87184210526316,Occasional
12625.0,2,2683.82,31.207209302325584,Occasional
12626.0,9,6620.48,22.51863945578231,Regular
12627.0,7,4478.53,19.47186956521739,Regular
12628.0,3,786.46,19.181951219512197,Occasional
12630.0,2,1270.88,19.8575,Occasional
12631.0,1,640.5,20.661290322580644,One-time
12633.0,4,2163.98,21.425544554455445,Occasional
12635.0,2,1689.18,16.724554455445546,Occasional
12637.0,8,6021.9,15.440769230769229,Regular
12638.0,1,671.69,17.222820512820515,One-time
12639.0,1,486.1,22.095454545454547,One-time
12640.0,3,1174.58,22.16188679245283,Occasional
12641.0,1,185.9,18.59,One-time
12642.0,3,1013.26,21.558723404255318,Occasional
12643.0,6,3344.64,139.35999999999999,Regular
12644.0,1,477.91,15.416451612903227,One-time
12645.0,4,1775.18,24.31753424657534,Occasional
12646.0,2,1346.97,29.932666666666666,Occasional
12647.0,12,3722.82,30.76710743801653,Regular
12648.0,1,318.05,15.145238095238096,One-time
12649.0,3,623.51,20.113225806451613,Occasional
12650.0,1,314.44,15.722,One-time
12651.0,1,114.0,12.666666666666666,One-time
12652.0,1,919.98,19.16625,One-time
12653.0,2,2209.85,51.391860465116274,Occasional
12654.0,5,601.98,15.841578947368422,Occasional
12656.0,5,4051.17,32.152142857142856,Occasional
12657.0,4,1643.18,34.961276595744685,Occasional
12658.0,1,686.05,19.056944444444444,One-time
12659.0,1,91.68,18.336000000000002,One-time
12660.0,1,245.1,18.853846153846153,One-time
12662.0,11,3849.78,16.73817391304348,Regular
12664.0,9,4881.88,131.94270270270272,Regular
12665.0,1,63.0,21.0,One-time
12667.0,1,620.13,18.791818181818183,One-time
12668.0,4,3807.15,23.64689440993789,Occasional
12669.0,3,2744.0299999999997,27.168613861386135,Occasional
12670.0,5,2996.05,32.56576086956522,Occasional
12672.0,1,225.89999999999998,22.589999999999996,One-time
12673.0,2,610.52,14.536190476190475,Occasional
12674.0,4,1970.6,23.742168674698792,Occasional
12676.0,6,1331.39,29.586444444444446,Regular
12678.0,12,17628.46,106.83915151515151,Regular
12679.0,4,1113.02,23.187916666666666,Occasional
12680.0,4,862.81,16.592499999999998,Occasional
12681.0,22,13787.54,21.610564263322885,Loyal
12682.0,31,12288.22,23.406133333333333,Loyal
12683.0,15,8476.57,24.641191860465117,Regular
12684.0,7,2283.63,21.748857142857144,Regular
12685.0,6,2863.08,18.236178343949042,Regular
12686.0,1,89.14,12.734285714285715,One-time
12688.0,1,4873.8099999999995,28.501812865497072,One-time
12689.0,2,1247.61,17.327916666666667,Occasional
12690.0,1,389.01,24.313125,One-time
12691.0,6,1035.8,32.36875,Regular
12693.0,4,855.91,21.946410256410257,Occasional
12694.0,2,869.67,23.504594594594593,Occasional
12695.0,4,582.1,21.55925925925926,Occasional
12697.0,3,957.59,23.355853658536585,Occasional
12700.0,4,4939.99,18.432798507462685,Occasional
12701.0,2,797.71,15.051132075471699,Occasional
12702.0,1,219.0,18.25,One-time
12703.0,1,283.55,13.502380952380953,One-time
12704.0,8,2340.84,26.600454545454546,Regular
12705.0,9,6868.29,20.56374251497006,Regular
12707.0,1,603.42,18.285454545454545,One-time
12708.0,10,2712.91,17.27968152866242,Regular
12709.0,15,9736.52,46.81019230769231,Regular
12710.0,3,1149.02,14.922337662337663,Occasional
12712.0,13,4396.13,33.053609022556394,Regular
12713.0,1,848.55,22.330263157894734,One-time
12714.0,5,4708.86,18.18092664092664,Occasional
12715.0,1,353.86,16.85047619047619,One-time
12716.0,2,1053.49,15.267971014492753,Occasional
12717.0,2,1030.98,18.74509090909091,Occasional
12718.0,1,238.25,12.539473684210526,One-time
12719.0,2,644.95,16.53717948717949,Occasional
12720.0,25,5781.73,16.332570621468925,Loyal
12721.0,6,2656.13,16.497701863354038,Regular
12722.0,4,997.63,18.82320754716981,Occasional
12723.0,5,725.07,10.508260869565218,Occasional
12724.0,4,1031.41,19.460566037735852,Occasional
12725.0,1,427.8,17.825,One-time
12726.0,7,2609.1,21.041129032258063,Regular
12727.0,7,3980.7,28.638129496402875,Regular
12728.0,4,836.33,18.18108695652174,Occasional
12729.0,1,453.01,17.423461538461538,One-time
12731.0,12,18895.91,68.96317518248175,Regular
12732.0,1,236.26000000000002,19.688333333333336,One-time
12733.0,1,383.95,17.452272727272728,One-time
12734.0,1,110.39999999999999,27.599999999999998,One-time
12735.0,2,779.5699999999999,18.12953488372093,Occasional
12736.0,1,234.0,58.5,One-time
12738.0,1,155.35,14.122727272727273,One-time
12739.0,2,1013.04,26.658947368421053,Occasional
12740.0,1,427.6,15.837037037037037,One-time
12743.0,2,546.43,4.077835820895522,Occasional
12744.0,7,21279.29,95.85265765765766,Regular
12747.0,11,4196.01,40.737961165048546,Regular
12748.0,209,33719.73,7.338352557127313,Loyal
12749.0,5,4090.88,20.55718592964824,Occasional
12750.0,1,275.88,18.392,One-time
12752.0,1,4366.78,82.3920754716981,One-time
12753.0,6,21429.39,108.77862944162436,Regular
12754.0,3,3010.74,47.78952380952381,Occasional
12755.0,2,3811.95,952.9875,Occasional
12756.0,1,112.07999999999998,28.019999999999996,One-time
12757.0,13,7857.1,21.178167115902966,Regular
12758.0,2,2791.59,28.779278350515465,Occasional
12759.0,3,1531.44,16.12042105263158,Occasional
12762.0,2,1898.52,27.51478260869565,Occasional
12763.0,2,494.08,27.448888888888888,Occasional
12764.0,1,1693.88,37.64177777777778,One-time
12766.0,7,6989.63,22.547193548387096,Regular
12769.0,1,1143.6,35.7375,One-time
12770.0,1,1351.45,112.62083333333334,One-time
12772.0,1,892.47,16.226727272727274,One-time
